Fondo Pensione;Categoria/Contratto di Riferimento;Sito Web
Agrifondo;Agricoltura - Operai, impiegati, contoterzisti, aziende cooperative, consorzi agrari;fondoagrifondo.it
Alifond;Industria alimentare e settori affini;alifond.it
Arco;Legno, sughero, mobile, arredamento, boschivi/forestali, laterizi, manufatti in cemento, lapidei, maniglie;fondoarco.it
Astri;Autostrade, strade, trasporti e infrastrutture;astrifondopensione.it
Byblos;Industria carta e cartone, aziende grafiche editoriali, comunicazione, spettacolo, sport e tempo libero;fondobyblos.it
Cometa;Industria metalmeccanica privata, installazione di impianti, aziende orafe-argentiere;cometafondo.it
Concreto;Industria cemento, calce, gesso e relativi manufatti, malte, materiali base costruzioni;fondoconcreto.it
Espero;Scuola;fondoespero.it
Eurofer;Ferrovie e Anas;fondoeurofer.it
Fon.Te.;Commercio, servizi, artigianato, turismo, terziario;fondofonte.it
Foncer;Industria ceramica, materiali refrattari, sanitari, stoviglierie;foncer.it
Fonchim;Chimico-farmaceutico, vetro, lampade, coibenti, minero-metallurgico;fonchim.it
Fondaereo;Naviganti trasporto aereo, piloti, assistenti di volo;fondaereo.it
Fondapi;Piccola e media impresa (metalmeccanico, chimico, tessile, grafico, alimentare, edile, informatico, laterizi, cemento, lapidei, calce, gesso);fondapi.it
FondEmain;Lavoratori territorio Regione autonoma Valle d'Aosta;fondemain.it
Fondenergia;Energia e petrolio;fondenergia.it
Fondoposte;Gruppo Poste Italiane e settori affini;fondoposte.it
Fopdire;Dirigenti Gruppo Eni;(non disponibile)
Fopen;Dipendenti Gruppo Enel;fondofopen.it
Gommaplastica;Gomma, cavi elettrici, materie plastiche;fondogommaplastica.it
Laborfonds;Trentino Alto Adige (fondo regionale);laborfonds.it
Mediafond;Dipendenti Gruppo Mediaset;mediafond.it
Pegaso;Imprese servizi pubblica utilità, Federutility;fondopegaso.it
PerseoSirio;Pubblica Amministrazione, Sanità, Università, Centri Ricerca, Agenzie Fiscali, Federazioni Sportive, Coni;fondoperseosirio.it
Prevaer;Settore aereo e personale di terra;prevaer.it
Prevedi;Imprese industriali, artigiane, edili e affini;prevedi.it
Previdenza Cooperativa;Cooperative e lavoratori addetti sistemi idraulico-forestale;previdenzacooperativa.it
Previambiente;Igiene ambientale e settori affini;previambiente.it
Previmoda;Industria tessile-abbigliamento, calzature, settori moda;previmoda.it
Priamo;Servizi trasporto pubblico e settori affini;fondopriamo.it
Quadri e Capi Fiat;Lavoratori quadri e capi Gruppo Fiat;fondoquadrifiat.it
Solidarietà Veneto;Tutte le categorie (fondo regionale Veneto);solidarietaveneto.it
Telemaco;Telecomunicazioni;fondotelemaco.it
