tipo,N. Albo,Linea/Comparto,Accordi collettivi,Etichetta accordi,Costo sottoscrizione individuale,Costo sottoscrizione collettiva,Commissione gestione collettiva,Provvigione incentivo,Note,Fonte
FPA,63,CRESCITA 25+,true,Adesione collettiva - classe A,"30,00 Euro","Spese adesione non previste; spese annue dirette: 6,00 euro; classe A. Gestione comparto: 0,90% del patrimonio.","0,90% del patrimonio.",,,63 - Arti & Mestieri- adesioni collettive.pdf
FPA,63,RIVALUTAZIONE 10+,true,Adesione collettiva - classe A,"30,00 Euro","Spese adesione non previste; spese annue dirette: 6,00 euro; classe A. Gestione comparto: 0,80% del patrimonio.","0,80% del patrimonio.",,,63 - Arti & Mestieri- adesioni collettive.pdf
FPA,63,CONSERVAZIONE 3+,true,Adesione collettiva - classe A,"30,00 Euro","Spese adesione non previste; spese annue dirette: 6,00 euro; classe A. Gestione comparto: 0,60% del patrimonio.","0,60% del patrimonio.",,,63 - Arti & Mestieri- adesioni collettive.pdf
FPA,63,GARANZIA 1+,true,Adesione collettiva - classe A,"30,00 Euro","Spese adesione non previste; spese annue dirette: 6,00 euro; classe A. Gestione comparto: 0,50% del patrimonio.","0,50% del patrimonio.",,,63 - Arti & Mestieri- adesioni collettive.pdf
FPA,63,INCREMENTO E GARANZIA 5+,true,Adesione collettiva - classe A,"30,00 Euro","Spese adesione non previste; spese annue dirette: 6,00 euro; classe A. Gestione comparto: 0,60% del patrimonio.","0,60% del patrimonio.",,,63 - Arti & Mestieri- adesioni collettive.pdf
FPA,63,EQUILIBRIO 5+,true,Adesione collettiva - classe A,"30,00 Euro","Spese adesione non previste; spese annue dirette: 6,00 euro; classe A. Gestione comparto: 0,70% del patrimonio.","0,70% del patrimonio.",,,63 - Arti & Mestieri- adesioni collettive.pdf
FPA,26,RENDITA SOSTENIBILE,true,Adesione collettiva - classe C,65 euro,"Spese adesione non previste; spese annue dirette: 6 euro. Gestione comparto: 0,84% del patrimonio su base annua.","0,84% del patrimonio su base annua.",,,26 - ARCA PREVIDENZA_Scheda Collettivita Classe C.pdf
FPA,26,CRESCITA SOSTENIBILE,true,Adesione collettiva - classe C,65 euro,"Spese adesione non previste; spese annue dirette: 6 euro. Gestione comparto: 0,90% del patrimonio su base annua.","0,90% del patrimonio su base annua.",,,26 - ARCA PREVIDENZA_Scheda Collettivita Classe C.pdf
FPA,26,ALTA CRESCITA SOSTENIBILE,true,Adesione collettiva - classe C,65 euro,"Spese adesione non previste; spese annue dirette: 6 euro. Gestione comparto: 0,96% del patrimonio su base annua.","0,96% del patrimonio su base annua.",,,26 - ARCA PREVIDENZA_Scheda Collettivita Classe C.pdf
FPA,26,OBIETTIVO TFR,true,Adesione collettiva - classe C,65 euro,"Spese adesione non previste; spese annue dirette: 6 euro. Gestione comparto: 0,90% del patrimonio su base annua.","0,90% del patrimonio su base annua.",,,26 - ARCA PREVIDENZA_Scheda Collettivita Classe C.pdf
FPA,92,EQUILIBRATO,true,Adesione collettiva - classe C da 20 aderenti,10 Euro,"Spese adesione non prevista; spese annue dirette: 18 euro fino a 5 aderenti, 15 euro da 6 a 15, 12 euro da 16 a 50, 6 euro da 51 a 100, non applicata oltre 100. Gestione comparto: Classe C da 20 aderenti: 1,20% del patrimonio su base annua; ordinaria: 1,50%.","Classe C da 20 aderenti: 1,20% del patrimonio su base annua; ordinaria: 1,50%.",La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,92 - AZIMUT PREVIDENZA - Scheda Costi - Adesioni Collettive - DEF.pdf
FPA,92,CRESCITA,true,Adesione collettiva - classe C da 20 aderenti,10 Euro,"Spese adesione non prevista; spese annue dirette: 18 euro fino a 5 aderenti, 15 euro da 6 a 15, 12 euro da 16 a 50, 6 euro da 51 a 100, non applicata oltre 100. Gestione comparto: Classe C da 20 aderenti: 1,45% del patrimonio su base annua; ordinaria: 1,80%.","Classe C da 20 aderenti: 1,45% del patrimonio su base annua; ordinaria: 1,80%.",La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,92 - AZIMUT PREVIDENZA - Scheda Costi - Adesioni Collettive - DEF.pdf
FPA,92,OBBLIGAZIONARIO,true,Adesione collettiva - classe C da 20 aderenti,10 Euro,"Spese adesione non prevista; spese annue dirette: 18 euro fino a 5 aderenti, 15 euro da 6 a 15, 12 euro da 16 a 50, 6 euro da 51 a 100, non applicata oltre 100. Gestione comparto: Classe C da 20 aderenti: 0,80% del patrimonio su base annua; ordinaria: 1,00%.","Classe C da 20 aderenti: 0,80% del patrimonio su base annua; ordinaria: 1,00%.",La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,92 - AZIMUT PREVIDENZA - Scheda Costi - Adesioni Collettive - DEF.pdf
FPA,171,BILANCIATO CONSERVATIVO,true,Adesione collettiva - classe C da 20 aderenti,10 Euro,"Spese adesione non prevista; spese annue dirette: 18 euro fino a 5 aderenti, 15 euro da 6 a 15, 12 euro da 16 a 50, 6 euro da 51 a 100, non applicata oltre 100. Gestione comparto: Classe C da 20 aderenti: 0,80% del patrimonio su base annua; ordinaria: 1,00%.","Classe C da 20 aderenti: 0,80% del patrimonio su base annua; ordinaria: 1,00%.",La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,171 - AZIMUT SUSTAINABLE FUTURE - Scheda Costi - Adesioni Collettive - DEF.pdf
FPA,171,BILANCIATO,true,Adesione collettiva - classe C da 20 aderenti,10 Euro,"Spese adesione non prevista; spese annue dirette: 18 euro fino a 5 aderenti, 15 euro da 6 a 15, 12 euro da 16 a 50, 6 euro da 51 a 100, non applicata oltre 100. Gestione comparto: Classe C da 20 aderenti: 1,20% del patrimonio su base annua; ordinaria: 1,50%.","Classe C da 20 aderenti: 1,20% del patrimonio su base annua; ordinaria: 1,50%.",La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,171 - AZIMUT SUSTAINABLE FUTURE - Scheda Costi - Adesioni Collettive - DEF.pdf
FPA,171,BILANCIATO ACCRESCITIVO,true,Adesione collettiva - classe C da 20 aderenti,10 Euro,"Spese adesione non prevista; spese annue dirette: 18 euro fino a 5 aderenti, 15 euro da 6 a 15, 12 euro da 16 a 50, 6 euro da 51 a 100, non applicata oltre 100. Gestione comparto: Classe C da 20 aderenti: 1,45% del patrimonio su base annua; ordinaria: 1,80%.","Classe C da 20 aderenti: 1,45% del patrimonio su base annua; ordinaria: 1,80%.",La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,La classe C richiede almeno 20 aderenti; possibili provvigioni di incentivo come da scheda.,171 - AZIMUT SUSTAINABLE FUTURE - Scheda Costi - Adesioni Collettive - DEF.pdf
FPA,53,OBBLIGAZIONARIO ESG,true,Adesione collettiva - classe C,2,"Spese adesione non previste; spese annue dirette: 8 euro; classe C. Gestione comparto: 0,75% del patrimonio su base annua.","0,75% del patrimonio su base annua.",,,53 - Fondo Pensione Aperto Aureo_BCC_COSTI Adesioni Collettive.pdf
FPA,53,BILANCIATO ESG,true,Adesione collettiva - classe C,2,"Spese adesione non previste; spese annue dirette: 8 euro; classe C. Gestione comparto: 0,80% del patrimonio su base annua.","0,80% del patrimonio su base annua.",,,53 - Fondo Pensione Aperto Aureo_BCC_COSTI Adesioni Collettive.pdf
FPA,53,AZIONARIO ESG,true,Adesione collettiva - classe C,2,"Spese adesione non previste; spese annue dirette: 8 euro; classe C. Gestione comparto: 0,85% del patrimonio su base annua.","0,85% del patrimonio su base annua.",,,53 - Fondo Pensione Aperto Aureo_BCC_COSTI Adesioni Collettive.pdf
