tipo,N. Albo,Linea/Comparto,Chiuso ai nuovi aderenti,Fonte
FPA,6,OBBLIGAZIONARIO,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 2
FPA,6,BILANCIATO,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 3
FPA,6,AZIONARIO,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 4
FPA,160,TFR,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 5
FPA,160,EQUILIBRIO,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 6
FPA,160,INVESTIMENTO,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 7
FPA,33,SICURA - OBBLIGAZIONARIA CON GARANZIA DI RENDIMENTO MINIMO,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 8
FPA,33,TRANQUILLA - OBBLIGAZIONARIA MISTA CON GARANZIA DI RESTITUZIONE DEL CAPITALE,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 9
FPA,33,SERENA - BILANCIATA,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 10
FPA,33,DINAMICA - AZIONARIA INTERNAZIONALE,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 11
PIP,5015,RI.ALTO PREVIDENZA,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 12
PIP,5015,LVA DINAMICO PREVIDENZA,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 13
PIP,5024,FONDO PROTETTO 2007,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 14
PIP,5024,FONDO ARMONICO 2007,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 15
PIP,5024,FONDO ATTIVO 2007,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 16
PIP,5036,CONTROL,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 17
PIP,5036,MEDIUM,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 18
PIP,5036,POWER,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 19
PIP,5069,GESTIRIV PREVIDENZA,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 20
PIP,5069,AXA PREVIDENZA ASSOLUTO,true,Fondi Chiusi ai nuovi aderenti.xlsx riga 21
